placeType,name,placeKeywords,category
hospital,병원,"병원,医院,hospital,clinic,의원,보건소,诊所,卫生院",medical
restaurant,식당,"식당,餐厅,饭店,restaurant,음식점,맛집,饭馆,餐馆,食堂,酒楼,菜馆",food
police,경찰서,"경찰서,警察局,公安局,police,파출소,派出所,公安",service
bank,은행,"은행,银行,bank,atm,금융,工商银行,建设银行,农业银行,中国银行,招商银行",service
busstation,버스터미널,"버스터미널,汽车站,长途汽车站,bus station,버스정류장,客运站,汽车客运站",transport
airport,공항,"공항,机场,airport,飞机场,航站楼",transport
trainstation,기차역,"기차역,火车站,train station,railway,역,高铁站,动车站,地铁站",transport
market,슈퍼마켓,"슈퍼마켓,超市,商店,supermarket,마트,편의점,便利店,小卖部,杂货店",shopping
apartment,아파트,"아파트,小区,公寓,apartment,주택,빌라,住宅,住宅区,居民区",residence
cinema,영화관,"영화관,电影院,cinema,movie theater,극장,影院,影城",entertainment
theater,극장,"극장,剧院,theater,공연장,剧场,演出,话剧,歌剧,音乐厅",entertainment
stadium,경기장,"경기장,体育场,运动场,stadium,스포츠,체육관,体育馆,球场,足球场,篮球场",sports
park,공원,"공원,公园,park,산책로,花园,植物园,动物园,湿地公园",sports
department,백화점,"백화점,百货商店,百货店,百货,商场,department store,쇼핑몰,mall,购物中心,商城,广场",shopping
golf,골프장,"골프장,高尔夫球场,golf course,골프,高尔夫,高球场",sports
massage,마사지,"마사지,按摩店,massage,spa,안마,按摩,足浴,足疗,推拿",wellness
ktv,노래방,"노래방,KTV,歌厅,karaoke,가라오케,唱歌,卡拉OK,量贩式KTV",entertainment
hotel,호텔,"호텔,酒店,宾馆,hotel,숙소,모텔,旅馆,客栈,民宿,度假村,招待所",accommodation
scenic,관광지,"관광지,景点,旅游景点,scenic spot,tourist attraction,명소,风景区,景区,名胜,名胜古迹",tourism
oldtown,고진,"고진,古镇,老街,old town,전통마을,古城,古村,老城,步行街",tourism
company,회사,"회사,公司,company,office,사무실,办公室,写字楼,办公楼",service
salon,미용실,"미용실,美发店,理发店,salon,hair salon,미용원,发廊,美容院,美甲店",wellness
bakery,제과점,"제과점,面包店,蛋糕店,bakery,빵집,베이커리,糕点店,西点店,甜品店",food
zhangjiajie,장가계,"장가계,张家界,Zhangjiajie,천문산,天门山,아바타산,Avatar Mountain",tourism
elementary,초등학교,"초등학교,小学,elementary school,primary school,국민학교,小学校",education
highschool,고등학교,"고등학교,高中,high school,고교,高级中学,普通高中",education
university,대학교,"대학교,大学,university,college,대학,高校,学院,本科,研究生",education
thegreatwall,만리장성,"만리장성,长城,万里长城,Great Wall,八达岭,慕田峪,居庸关,司马台,金山岭",tourism
