type,placeType,category,keywords_ko,keywords_cn,keywords_en,keywords_ja,keywords_fr,keywords_de,keywords_es,keywords_pt,keywords_vi,keywords_th,keywords_id,keywords_ms
general,airport,transport,공항|인천공항|김포공항|에어포트|입국,机场|航站楼|航空,airport|terminal|airfield,空港|エアポート,aéroport|terminal,Flughafen|Terminal,aeropuerto|terminal,aeroporto|terminal,sân bay|nhà ga hàng không,สนามบิน|ท่าอากาศยาน,bandara|bandar udara|terminal,lapangan terbang|terminal
general,busstop,transport,버스정류장|버스터미널|버스정류소|고속버스|시외버스|마을버스|버스|광역버스|간선버스|지선버스,公交车站|公交站|汽车站|客运站|巴士,bus stop|bus terminal|bus station|bus,バス停|バスターミナル|バス,arrêt de bus|gare routière|bus,Bushaltestelle|Busbahnhof|Bus,parada de autobús|estación de autobuses|bus,ponto de ônibus|rodoviária|ônibus,trạm xe buýt|bến xe|xe buýt,ป้ายรถเมล์|สถานีขนส่ง|รถเมล์,halte bus|terminal bus|bus,perhentian bas|terminal bas|bas
general,subway,transport,전철|지하철|지하철역|전철역|메트로|가평역|강릉역|검암역|경산역|광명역|광주송정역|구포역|나주역|대구역|대전역|동대구역|망우역|상봉역|서울역|서원주역|성남역|수서역|수원역|아산역|양평역|영등포역|오송역|용산역|울산역|원주역|익산역|일산역|전주역|정동진역|천안아산역|청량리역|평택지제역|포항역|행신역|지하철역 광고|광고,地铁|地铁站|城铁|加平站|江陵站|黔岩站|庆山站|光明站|光州松汀站|龟浦站|罗州站|大邱站|大田站|东大邱站|忘忧站|上凤站|首尔站|西原州站|城南站|水西站|水原站|牙山站|杨平站|永登浦站|五松站|龙山站|蔚山站|原州站|益山站|一山站|全州站|正东津站|天安牙山站|清凉里站|平泽芝制站|浦项站|幸信站,subway|metro|underground|Gapyeong Station|Gangneung Station|Geomam Station|Gyeongsan Station|Gwangmyeong Station|Gwangju Songjeong Station|Gupo Station|Naju Station|Daegu Station|Daejeon Station|Dongdaegu Station|Mangu Station|Sangbong Station|Seoul Station|Seowonju Station|Seongnam Station|Suseo Station|Suwon Station|Asan Station|Yangpyeong Station|Yeongdeungpo Station|Osong Station|Yongsan Station|Ulsan Station|Wonju Station|Iksan Station|Ilsan Station|Jeonju Station|Jeongdongjin Station|Cheonan Asan Station|Cheongnyangni Station|Pyeongtaek Jije Station|Pohang Station|Haengsin Station,地下鉄|メトロ|加平駅|江릉駅|黔岩駅|慶山駅|光明駅|光州松汀駅|亀浦駅|羅州駅|大邱駅|大田駅|東大邱駅|忘憂駅|上鳳駅|ソウル駅|西原州駅|城南駅|水西駅|水原駅|牙山駅|楊平駅|永登浦駅|五松駅|龍山駅|蔚山駅|原州駅|益山駅|一山駅|全州駅|正東津駅|天安牙山駅|清凉里駅|平沢芝制駅|浦項駅|幸信駅,métro|station de métro,U-Bahn|Metro|U-Bahnhof,metro|estación de metro,metrô|estação de metrô,tàu điện ngầm|ga tàu điện,รถไฟฟ้าใต้ดิน|สถานีรถไฟฟ้า|MRT,kereta bawah tanah|MRT|stasiun,kereta api bawah tanah|MRT|stesen
general,trainstation,transport,기차역|기차|KTX|SRT|무궁화|새마을|철도|역|가평역|강릉역|강릉선남강릉역|검암역|경산역|계룡역|곡성역|공주역|광명역|광주송정역|구례구역|구포역|김제역|김천구미역|나주역|남원역|논산역|단양역|대구역|대전역|동대구역|동해역|동화역|만종역|목포역|무안역|밀양역|반곡역|상봉역|서대구역|서울역|서원주역|성남역|수서역|수원역|순천역|아산역|안동역|양평역|여수EXPO역|여천역|영등포역|영주역|오송역|옥천역|용산역|울산역|원주역|의성역|익산역|일산역|임실역|장성역|전주역|정동진역|정남진역|정읍역|제천역|진부역|진영역|진주역|창원역|창원중앙역|천안아산역|청량리역|청도역|평창역|평택지제역|포항역|풍기역|하동역|함안역|행신역|횡성역,火车站|高铁站|铁路|车站|加平站|江陵站|江陵线南江陵站|黔岩站|庆山站|鸡龙站|谷城站|公州站|光明站|光州松汀站|求礼口站|龟浦站|金堤站|金泉龟尾站|罗州站|南原站|论山站|丹阳站|大邱站|大田站|东大邱站|东海站|桐华站|万钟站|木浦站|务安站|密阳站|盘谷站|上凤站|西大邱站|首尔站|西原州站|城南站|水西站|水原站|顺天站|牙山站|安东站|杨平站|丽水世博会站|丽川站|永登浦站|荣州站|五松站|沃川站|龙山站|蔚山站|原州站|义城站|益山站|一山站|任实站|长城站|全州站|正东津站|正南津站|井邑站|堤川站|珍富站|进永站|晋州站|昌原站|昌原中央站|天安牙山站|清凉里站|清道站|平昌站|平泽芝制站|浦项站|丰基站|河东站|咸安站|幸信站|横城站,train station|railway|KTX|railroad|Gapyeong Station|Gangneung Station|Gangneung Line Namgangneung Station|Geomam Station|Gyeongsan Station|Gyeryong Station|Gokseong Station|Gongju Station|Gwangmyeong Station|Gwangju Songjeong Station|Guryegu Station|Gupo Station|Gimje Station|Gimcheon Gumi Station|Naju Station|Namwon Station|Nonsan Station|Danyang Station|Daegu Station|Daejeon Station|Dongdaegu Station|Donghae Station|Donghwa Station|Manjong Station|Mokpo Station|Muan Station|Miryang Station|Bangok Station|Sangbong Station|Seodaegu Station|Seoul Station|Seowonju Station|Seongnam Station|Suseo Station|Suwon Station|Suncheon Station|Asan Station|Andong Station|Yangpyeong Station|Yeosu EXPO Station|Yeocheon Station|Yeongdeungpo Station|Yeongju Station|Osong Station|Okcheon Station|Yongsan Station|Ulsan Station|Wonju Station|Uiseong Station|Iksan Station|Ilsan Station|Imsil Station|Jangseong Station|Jeonju Station|Jeongdongjin Station|Jeongnamjin Station|Jeongeup Station|Jecheon Station|Jinbu Station|Jinyeong Station|Jinju Station|Changwon Station|Changwon Jungang Station|Cheonan Asan Station|Cheongnyangni Station|Cheongdo Station|Pyeongchang Station|Pyeongtaek Jije Station|Pohang Station|Punggi Station|Hadong Station|Haman Station|Haengsin Station|Hoengseong Station,駅|鉄道|列車|加平駅|江陵駅|江陵線南江陵駅|黔岩駅|慶山駅|鶏龍駅|谷城駅|公州駅|光明駅|光州松汀駅|求礼口駅|亀浦駅|金堤駅|金泉亀尾駅|羅州駅|南原駅|論山駅|丹陽駅|大邱駅|大田駅|東大邱駅|東海駅|桐華駅|万鍾駅|木浦駅|務安駅|密陽駅|盤谷駅|上鳳駅|西大邱駅|ソウル駅|西原州駅|城南駅|水西駅|水原駅|順天駅|牙山駅|安東駅|楊平駅|麗水EXPO駅|麗川駅|永登浦駅|栄州駅|五松駅|沃川駅|龍山駅|蔚山駅|原州駅|義城駅|益山駅|一山駅|任実駅|長城駅|全州駅|正東津駅|正南津駅|井邑駅|堤川駅|珍富駅|進永駅|晋州駅|昌原駅|昌原中央駅|天安牙山駅|清凉里駅|清道駅|平昌駅|平沢芝制駅|浦項駅|豊基駅|河東駅|咸安駅|幸信駅|横城駅,gare|gare ferroviaire|train|TGV,Bahnhof|Hauptbahnhof|Zug,estación de tren|tren|ferrocarril,estação de trem|trem|ferrovia,ga tàu|nhà ga|tàu hỏa,สถานีรถไฟ|รถไฟ,stasiun kereta|kereta api|stasiun,stesen kereta api|kereta api
general,taxistand,transport,택시승차장|택시|택시정류장|콜택시|카카오택시,出租车站|出租车|打车|叫车|的士,taxi stand|taxi|cab,タクシー乗り場|タクシー,station de taxi|taxi,Taxistand|Taxi,parada de taxi|taxi,ponto de táxi|táxi,bến taxi|taxi|xe taxi,แท็กซี่|จุดจอดแท็กซี่,pangkalan taksi|taksi,tempat teksi|teksi
general,ferryport,transport,페리부두|여객터미널|항구|선착장|배|페리|부두|포트,渡轮码头|码头|港口|客运码头|渡轮,ferry port|harbor|pier|dock|ferry,フェリー埠頭|港|フェリー,port de ferry|ferry|port|quai,Fährhafen|Fähre|Hafen,puerto de ferry|ferry|puerto|muelle,porto de balsa|balsa|porto,bến phà|phà|cảng,ท่าเรือเฟอร์รี่|เรือเฟอร์รี่|ท่าเรือ,pelabuhan feri|feri|dermaga,pelabuhan feri|feri|jeti
general,carrental,transport,자동차렌트|렌트카|렌터카|차량대여|카렌탈,租车|租车店|汽车租赁,car rental|rent a car|rental car,レンタカー|車レンタル,location de voiture|louer une voiture,Autovermietung|Mietwagen,alquiler de coches|renta de autos,aluguel de carro|locadora,thuê xe|cho thuê ô tô,เช่ารถ|รถเช่า,rental mobil|sewa mobil,sewa kereta|kereta sewa
general,gasstation,transport,주유소|충전소|전기충전|EV충전|셀프주유,加油站|充电站|加气站,gas station|fuel station|charging station|petrol,ガソリンスタンド|充電ステーション,station-service|essence|carburant,Tankstelle|Benzin,gasolinera|estación de servicio|gasolina,posto de gasolina|combustível,trạm xăng|cây xăng,ปั๊มน้ำมัน|สถานีเติมน้ำมัน,pom bensin|SPBU|bensin,stesen minyak|petrol
general,koreanrestaurant,food,한식당|한식|한정식|백반|국밥|냉면|비빔밥|칼국수|한식뷔페,韩餐厅|韩餐|韩国料理|韩式|韩国餐厅,korean restaurant|korean food|korean cuisine|hansik,韓国料理|韓食|韓国レストラン,restaurant coréen|cuisine coréenne|bibimbap,koreanisches Restaurant|koreanische Küche|Bibimbap,restaurante coreano|comida coreana,restaurante coreano|comida coreana,nhà hàng Hàn Quốc|đồ ăn Hàn|quán Hàn,ร้านอาหารเกาหลี|อาหารเกาหลี|บิบิมบับ,restoran Korea|masakan Korea|bibimbap,restoran Korea|masakan Korea
general,bbqrestaurant,food,고기구이집|삼겹살|갈비|소고기|돼지고기|구이|숯불|목살|곱창|양념갈비|한우집|한우|돼지,烤肉店|烤肉|五花肉|排骨|炭火烤肉,bbq|barbecue|grill|grilled meat|korean bbq,焼肉|バーベキュー|サムギョプサル,barbecue coréen|viande grillée|samgyeopsal,koreanisches BBQ|Grillfleisch|Samgyeopsal,barbacoa coreana|carne a la parrilla,churrasco coreano|carne grelhada,quán thịt nướng|BBQ Hàn Quốc|thịt nướng,ปิ้งย่างเกาหลี|บาร์บีคิว|หมูย่าง,restoran BBQ|daging panggang|Korean BBQ,restoran BBQ|daging panggang
